Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
search.google.com / referral,1,0,1,100.00%,1.00,0.00,0.00%,0,0
sextop1.net / local_display,1,0,12,50.00%,3.00,56.42,0.00%,0,0
shopeecs.lightning.force.com / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
sogou / organic,1,1,1,100.00%,1.00,0.00,0.00%,0,0
start.mysearchdial.com / local_display,1,0,3,100.00%,1.00,0.00,0.00%,0,0
techzones.vn / local_display,1,0,9,33.33%,4.67,259.56,0.00%,0,0
tendata.mailsou.com / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
thegioididong.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
thiendia.com / local_display,1,0,5,20.00%,4.40,605.60,0.00%,0,0
touch.facebook.com / referral,1,0,1,100.00%,1.00,0.00,0.00%,0,0
tpc.googlesyndication.com / referral,1,0,31,45.16%,2.45,38.45,0.00%,0,0
translate.google.com / referral,1,1,2,100.00%,1.00,0.00,0.00%,0,0
tuoi69.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
tuoitre.vn / local_display,1,0,15,40.00%,11.07,535.47,0.00%,0,0
uk.search.yahoo.com / referral,1,0,1,0.00%,6.00,184.00,0.00%,0,0
upload.facebook.com / referral,1,1,1,0.00%,4.00,68.00,0.00%,0,0
us.search.yahoo.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0
vi.m.wikipedia.org / local_display,1,0,8,75.00%,2.25,36.75,0.00%,0,0
vietfones.vn / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
vietlott.vn / local_display,1,0,51,64.71%,1.80,75.57,0.00%,0,0
vietnamnet.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
vn.indeed.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
wap.sogou.com / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
web.start.fyi / local_display,1,0,22,36.36%,2.64,237.82,0.00%,0,0
www-dienmayxanh-com.cdn.ampproject.org / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
xiaomiviet.vn / local_display,1,0,2,0.00%,4.50,113.00,0.00%,0,0
xnxx.com / local_display,1,0,2,50.00%,1.50,6.00,0.00%,0,0
zalo / (not set),1,1,1,100.00%,1.00,0.00,0.00%,0,0
,657602,530065,1261203,66.80%,3.19,154.49,0.80%,10077,10041473652
